"Launch Angle (degrees)","Exit Velocity (mph)","Predicted Probability of a Hit"
-7,86,"17.8%"
-7,85,"11.6%"
-7,84,"22.2%"
-7,83,"21.0%"
-7,82,"22.2%"
-7,81,"13.7%"
-7,80,"22.2%"
-7,79,"17.1%"
-7,78,"14.7%"
-7,77,"16.4%"
-7,76,"23.2%"
-7,75,"8.9%"
-7,74,"13.0%"
-7,73,"11.6%"
-7,72,"8.0%"
-7,71,"8.3%"
-7,70,"16.9%"
-7,69,"38.7%"
-7,68,"20.7%"
-7,67,"33.3%"
-7,66,"13.8%"
-7,65,"7.2%"
-7,63,"24.0%"
-7,62,"30.2%"
-7,61,"14.2%"
-7,60,"9.4%"
-7,58,"14.6%"
-7,57,"17.8%"
-7,50,"26.0%"
-7,49,"8.0%"
-7,48,"14.1%"
-7,38,"19.8%"
-8,113,"46.4%"
-8,111,"28.1%"
-8,110,"32.8%"
-8,109,"40.5%"
-8,108,"40.7%"
-8,107,"34.1%"
-8,106,"33.6%"
-8,105,"43.7%"
-8,104,"33.4%"
-8,103,"29.4%"
-8,102,"34.4%"
-8,101,"33.0%"
-8,100,"33.3%"
-8,99,"32.6%"
-8,98,"30.3%"
-8,97,"34.2%"
-8,96,"26.5%"
-8,95,"32.5%"
-8,94,"23.4%"
-8,93,"18.2%"
-8,92,"21.6%"
-8,91,"24.5%"
-8,90,"16.6%"
-8,89,"21.1%"
-8,88,"25.6%"
-8,87,"20.0%"
-8,86,"18.7%"
-8,85,"20.2%"
-8,84,"29.4%"
-8,83,"13.6%"
-8,82,"16.4%"
-8,81,"20.3%"
-8,80,"16.1%"
-8,79,"30.6%"
-8,78,"11.1%"
-8,77,"23.8%"
-8,76,"12.6%"
-8,75,"20.0%"
-8,74,"10.8%"
-8,73,"12.2%"
-8,72,"16.2%"
-8,71,"14.8%"
-8,70,"21.7%"
-8,69,"17.9%"
-8,68,"27.3%"
-8,67,"23.7%"
-8,66,"8.9%"
-8,65,"33.8%"
-8,64,"24.0%"
-8,63,"22.2%"
-8,61,"18.0%"
-8,60,"29.2%"
-8,59,"47.8%"
-8,58,"10.0%"
-8,57,"37.7%"
-8,56,"13.2%"
-8,54,"22.4%"
-8,51,"12.0%"
-8,49,"11.8%"
-9,116,"76.6%"
-9,115,"25.6%"
-9,113,"35.6%"
-9,112,"38.6%"
-9,111,"39.5%"
-9,110,"43.7%"
-9,109,"11.3%"
-9,108,"21.0%"
-9,107,"27.9%"
-9,106,"29.9%"
-9,105,"33.5%"
-9,104,"26.3%"
-9,103,"22.3%"
-9,102,"27.2%"
-9,101,"29.6%"
-9,100,"27.5%"
-9,99,"33.1%"
-9,98,"29.5%"
-9,97,"31.9%"
-9,96,"28.8%"
-9,95,"25.7%"
-9,94,"26.1%"
-9,93,"35.2%"
-9,92,"23.8%"
-9,91,"18.2%"
-9,90,"28.2%"
-9,89,"17.6%"
-9,88,"19.7%"
-9,87,"19.9%"
-9,86,"25.0%"
-9,85,"22.5%"
-9,84,"18.1%"
-9,83,"15.6%"
-9,82,"16.3%"
-9,81,"17.9%"
-9,80,"14.6%"
-9,79,"18.3%"
-9,78,"16.7%"
-9,77,"24.5%"
-9,76,"29.8%"
-9,75,"19.2%"
-9,74,"28.4%"
-9,73,"17.0%"
-9,72,"13.3%"
-9,71,"20.5%"
-9,70,"22.9%"
-9,69,"18.5%"
-9,68,"16.0%"
-9,67,"13.9%"
-9,65,"26.8%"
-9,64,"8.5%"
-9,63,"6.4%"
-9,62,"24.8%"
-9,61,"17.3%"
-9,60,"16.6%"
-9,46,"21.2%"
-9,45,"13.6%"
-9,29,"29.8%"
-10,113,"36.8%"
-10,112,"55.4%"
-10,111,"21.2%"
-10,110,"19.2%"
-10,109,"40.6%"
-10,108,"37.0%"
-10,107,"38.5%"
-10,106,"27.2%"
-10,105,"22.7%"
-10,104,"25.8%"
-10,103,"37.6%"
-10,102,"30.4%"
-10,101,"33.4%"
-10,100,"24.2%"
-10,99,"30.1%"
-10,98,"20.8%"
-10,97,"30.4%"
-10,96,"32.6%"
-10,95,"22.7%"
-10,94,"25.1%"
-10,93,"27.5%"
-10,92,"22.3%"
-10,91,"23.6%"
-10,90,"16.7%"
-10,89,"16.5%"
-10,88,"15.0%"
-10,87,"18.9%"
-10,86,"18.1%"
-10,85,"22.0%"
-10,84,"13.4%"
-10,83,"12.6%"
-10,82,"13.1%"
-10,81,"22.9%"
-10,80,"15.9%"
-10,79,"13.1%"
-10,78,"17.5%"
-10,77,"13.9%"
-10,76,"15.3%"
-10,75,"9.6%"
-10,74,"17.9%"
-10,73,"16.2%"
-10,72,"14.6%"
-10,71,"12.4%"
-10,70,"5.4%"
-10,69,"14.3%"
-10,68,"14.9%"
-10,67,"9.5%"
-10,66,"10.2%"
-10,65,"8.4%"
-10,64,"9.9%"
-10,63,"6.6%"
-10,62,"10.6%"
-10,61,"4.9%"
-10,60,"18.8%"
-10,59,"27.9%"
-10,57,"13.0%"
-10,56,"10.0%"
-10,55,"19.2%"
-10,53,"12.6%"
-10,50,"5.4%"
-10,49,"10.0%"
-10,40,"10.6%"
-11,113,"38.8%"
-11,111,"16.6%"
-11,110,"24.9%"
-11,109,"27.4%"
-11,108,"23.1%"
-11,107,"34.5%"
-11,106,"29.6%"
-11,105,"29.7%"
-11,104,"25.9%"
-11,103,"30.3%"
-11,102,"31.2%"
-11,101,"30.5%"
-11,100,"26.6%"
-11,99,"29.4%"
-11,98,"19.4%"
-11,97,"31.4%"
-11,96,"23.2%"
-11,95,"28.3%"
-11,94,"18.2%"
-11,93,"23.4%"
-11,92,"18.5%"
-11,91,"23.3%"
-11,90,"12.6%"
-11,89,"18.9%"
-11,88,"16.3%"
-11,87,"15.1%"
-11,86,"12.4%"
-11,85,"15.7%"
-11,84,"19.2%"
-11,83,"14.9%"
-11,82,"15.6%"
-11,81,"13.4%"
-11,80,"13.5%"
-11,79,"17.0%"
-11,78,"22.4%"
-11,77,"14.1%"
-11,76,"17.2%"
-11,75,"5.5%"
-11,74,"11.1%"
-11,73,"13.2%"
-11,72,"11.7%"
-11,71,"13.5%"
-11,70,"9.0%"
-11,69,"14.1%"
-11,68,"13.0%"
-11,67,"14.6%"
-11,66,"11.3%"
-11,65,"13.8%"
-11,62,"5.0%"
-11,61,"8.6%"
-11,60,"15.7%"
-11,59,"17.4%"
-11,58,"7.4%"
-11,57,"24.4%"
-11,56,"10.8%"
-11,54,"14.0%"
-11,50,"39.8%"
-11,45,"16.6%"
-11,40,"17.0%"
-11,36,"10.4%"
-11,34,"22.4%"
-12,112,"36.0%"
-12,111,"28.4%"
-12,110,"20.5%"
-12,109,"12.2%"
-12,108,"31.4%"
-12,107,"24.8%"
-12,106,"47.1%"
-12,105,"33.4%"
-12,104,"31.9%"
-12,103,"28.6%"
-12,102,"30.4%"
-12,101,"28.2%"
-12,100,"26.1%"
-12,99,"30.4%"
-12,98,"20.0%"
-12,97,"24.3%"
-12,96,"24.1%"
-12,95,"21.9%"
-12,94,"17.8%"
-12,93,"20.0%"
-12,92,"19.4%"
-12,91,"20.8%"
-12,90,"13.5%"
-12,89,"19.7%"
-12,88,"17.6%"
-12,87,"16.9%"
-12,86,"16.7%"
-12,85,"12.4%"
-12,84,"21.2%"
-12,83,"14.9%"
-12,82,"15.6%"
-12,81,"11.1%"
-12,80,"9.2%"
-12,79,"18.7%"
-12,78,"12.1%"
-12,77,"14.2%"
-12,76,"17.9%"
-12,75,"14.4%"
-12,74,"8.6%"
-12,73,"10.0%"
-12,72,"12.3%"
-12,71,"11.2%"
-12,70,"6.6%"
-12,69,"12.1%"
-12,68,"7.3%"
-12,67,"18.5%"
-12,66,"12.1%"
-12,65,"11.7%"
-12,64,"6.6%"
-12,63,"7.6%"
-12,61,"2.8%"
-12,54,"7.4%"
-12,52,"22.4%"
-12,44,"16.0%"
-13,118,"51.8%"
-13,113,"50.2%"
-13,112,"50.8%"
-13,110,"34.6%"
-13,109,"6.2%"
-13,108,"45.2%"
-13,107,"16.8%"
-13,106,"23.9%"
-13,105,"37.3%"
-13,104,"20.7%"
-13,103,"30.2%"
-13,102,"17.5%"
-13,101,"25.2%"
-13,100,"29.8%"
-13,99,"22.6%"
-13,98,"24.0%"
-13,97,"23.0%"
-13,96,"26.4%"
-13,95,"21.2%"
-13,94,"20.2%"
-13,93,"18.8%"
-13,92,"16.7%"
-13,91,"14.2%"
-13,90,"13.5%"
-13,89,"12.6%"
-13,88,"12.7%"
-13,87,"18.4%"
-13,86,"11.9%"
-13,85,"13.0%"
-13,84,"16.8%"
-13,83,"12.0%"
-13,82,"15.2%"
-13,81,"18.2%"
-13,80,"11.7%"
-13,79,"17.9%"
-13,78,"9.3%"
-13,77,"28.1%"
-13,76,"4.8%"
-13,75,"11.2%"
-13,74,"10.3%"
-13,73,"11.3%"
-13,72,"11.5%"
-13,71,"8.6%"
-13,70,"12.0%"
-13,69,"19.5%"
-13,68,"10.6%"
-13,67,"8.0%"
-13,66,"7.5%"
-13,65,"10.6%"
-13,64,"2.7%"
-13,62,"4.6%"
-13,59,"3.0%"
-13,58,"9.6%"
-13,57,"8.8%"
-13,52,"6.2%"
-13,46,"13.4%"
-13,42,"24.0%"
-14,112,"11.0%"
-14,111,"25.6%"
-14,110,"32.6%"
-14,109,"19.5%"
-14,108,"47.0%"
-14,107,"25.6%"
-14,106,"33.7%"
-14,105,"33.1%"
-14,104,"32.4%"
-14,103,"26.0%"
-14,102,"30.4%"
-14,101,"29.6%"
-14,100,"29.0%"
-14,99,"23.2%"
-14,98,"19.8%"
-14,97,"26.2%"
-14,96,"21.5%"
-14,95,"20.1%"
-14,94,"16.4%"
-14,93,"19.0%"
-14,92,"21.6%"
-14,91,"23.6%"
-14,90,"21.3%"
-14,89,"18.6%"
-14,88,"10.4%"
-14,87,"9.1%"
-14,86,"21.3%"
-14,85,"18.8%"
-14,84,"13.4%"
-14,83,"10.4%"
-14,82,"14.6%"
-14,81,"12.8%"
-14,80,"7.5%"
-14,79,"12.9%"
-14,78,"17.3%"
-14,77,"10.0%"
-14,76,"9.0%"
-14,75,"13.6%"
-14,74,"10.1%"
-14,73,"8.7%"
-14,72,"6.0%"
-14,71,"22.0%"
-14,70,"9.7%"
-14,69,"18.5%"
-14,68,"17.8%"
-14,67,"6.8%"
-14,66,"7.3%"
-14,65,"9.6%"
-14,64,"5.8%"
-14,63,"9.6%"
-14,62,"13.9%"
-14,60,"24.2%"
-14,59,"14.8%"
-14,58,"5.0%"
-14,56,"29.8%"
-14,55,"8.2%"
-14,53,"9.2%"
-14,52,"33.0%"
-14,50,"8.0%"
-14,44,"3.2%"
-15,116,"23.4%"
-15,112,"31.2%"
-15,111,"11.6%"
-15,110,"54.8%"
-15,108,"29.7%"
-15,106,"37.1%"
-15,105,"31.2%"
-15,104,"24.5%"
-15,103,"20.6%"
-15,102,"26.0%"
-15,101,"23.7%"
-15,100,"22.3%"
-15,99,"28.6%"
-15,98,"18.2%"
-15,97,"25.0%"
-15,96,"25.6%"
-15,95,"25.4%"
-15,94,"18.2%"
-15,93,"23.1%"
-15,92,"17.3%"
-15,91,"18.9%"
-15,90,"12.8%"
-15,89,"20.4%"
-15,88,"23.3%"
-15,87,"13.2%"
-15,86,"17.2%"
-15,85,"11.3%"
-15,84,"16.7%"
-15,83,"10.9%"
-15,82,"15.1%"
-15,81,"14.4%"
-15,80,"13.1%"
-15,79,"23.9%"
-15,78,"13.4%"
-15,77,"5.4%"
-15,76,"18.1%"
-15,75,"10.2%"
-15,74,"9.4%"
-15,73,"5.6%"
-15,72,"10.6%"
-15,71,"9.0%"
-15,70,"9.7%"
-15,69,"13.2%"
-15,68,"8.6%"
-15,67,"3.3%"
-15,66,"8.1%"
-15,65,"9.1%"
-15,63,"19.0%"
-15,61,"11.6%"
-15,59,"30.4%"
-15,56,"5.0%"
-15,55,"1.8%"
-15,53,"11.8%"
-15,49,"6.0%"
-15,45,"2.6%"
-15,44,"14.6%"
-15,32,"12.0%"
-16,113,"22.2%"
-16,111,"62.7%"
-16,108,"29.6%"
-16,107,"35.4%"
-16,106,"38.2%"
-16,105,"76.8%"
-16,104,"17.2%"
-16,103,"15.3%"
-16,102,"44.9%"
-16,101,"34.9%"
-16,100,"36.3%"
-16,99,"25.8%"
-16,98,"24.3%"
-16,97,"20.7%"
-16,96,"24.9%"
-16,95,"23.6%"
-16,94,"26.4%"
-16,93,"21.8%"
-16,92,"13.1%"
-16,91,"16.5%"
-16,90,"10.8%"
-16,89,"9.8%"
-16,88,"18.1%"
-16,87,"21.3%"
-16,86,"12.5%"
-16,85,"12.2%"
-16,84,"10.6%"
-16,83,"13.4%"
-16,82,"15.2%"
-16,81,"14.2%"
-16,80,"13.4%"
-16,79,"14.1%"
-16,78,"10.9%"
-16,77,"4.1%"
-16,76,"13.0%"
-16,75,"3.3%"
-16,74,"14.4%"
-16,73,"3.2%"
-16,72,"3.6%"
-16,71,"12.2%"
-16,70,"8.2%"
-16,69,"6.5%"
-16,68,"12.2%"
-16,67,"8.2%"
-16,66,"7.2%"
-16,65,"6.7%"
-16,64,"11.6%"
-16,63,"8.2%"
-16,62,"12.9%"
-16,61,"7.6%"
-16,60,"3.9%"
-16,59,"5.0%"
-16,58,"5.8%"
-16,57,"23.5%"
-16,55,"9.1%"
-16,54,"14.4%"
-16,51,"5.0%"
-16,47,"4.0%"
-16,43,"2.0%"
-16,41,"5.8%"
-16,37,"17.4%"
-17,114,"53.0%"
-17,111,"30.8%"
-17,110,"5.0%"
-17,109,"19.2%"
-17,108,"20.2%"
-17,107,"44.9%"
-17,106,"27.4%"
-17,105,"34.0%"
-17,104,"19.4%"
-17,103,"19.3%"
-17,102,"16.6%"
-17,101,"40.7%"
-17,100,"27.1%"
-17,99,"20.5%"
-17,98,"16.8%"
-17,97,"31.7%"
-17,96,"21.5%"
-17,95,"23.5%"
-17,94,"17.4%"
-17,93,"17.8%"
-17,92,"21.9%"
-17,91,"16.5%"
-17,90,"12.2%"
-17,89,"18.7%"
-17,88,"22.9%"
-17,87,"13.6%"
-17,86,"15.4%"
-17,85,"6.2%"
-17,84,"11.7%"
-17,83,"12.3%"
-17,82,"12.3%"
-17,81,"11.6%"
-17,80,"13.6%"
-17,79,"10.5%"
-17,78,"7.6%"
-17,77,"7.8%"
-17,76,"9.0%"
-17,75,"10.9%"
-17,74,"3.5%"
-17,73,"9.1%"
-17,72,"6.0%"
-17,71,"8.0%"
-17,70,"7.9%"
-17,69,"16.5%"
-17,68,"8.8%"
-17,67,"7.8%"
-17,66,"5.7%"
-17,65,"7.4%"
-17,64,"12.9%"
-17,62,"12.7%"
-17,61,"14.8%"
-17,59,"7.8%"
-17,57,"27.8%"
-17,56,"4.6%"
-17,54,"10.3%"
-17,53,"25.2%"
-17,50,"3.6%"
-17,49,"29.8%"
-17,47,"11.0%"
-17,35,"22.8%"
-18,113,"31.2%"
-18,110,"25.8%"
-18,108,"16.9%"
-18,106,"32.0%"
-18,105,"23.4%"
-18,104,"29.3%"
-18,103,"25.4%"
-18,102,"39.3%"
-18,101,"8.2%"
-18,100,"19.7%"
-18,99,"19.5%"
-18,98,"24.8%"
-18,97,"19.6%"
-18,96,"34.0%"
-18,95,"24.0%"
-18,94,"22.1%"
-18,93,"27.7%"
-18,92,"14.0%"
-18,91,"12.3%"
-18,90,"20.2%"
-18,89,"17.3%"
-18,88,"17.6%"
-18,87,"15.3%"
-18,86,"13.4%"
-18,85,"10.8%"
-18,84,"17.3%"
-18,83,"8.6%"
-18,82,"17.1%"
-18,81,"12.8%"
-18,80,"17.0%"
-18,79,"18.9%"
-18,78,"10.2%"
-18,77,"7.7%"
-18,76,"33.9%"
-18,75,"17.6%"
-18,74,"6.4%"
-18,73,"11.2%"
-18,72,"12.7%"
-18,71,"9.1%"
-18,70,"8.7%"
-18,69,"19.5%"
-18,68,"12.3%"
-18,67,"8.7%"
-18,66,"11.7%"
-18,65,"1.4%"
-18,64,"9.6%"
-18,63,"7.4%"
-18,62,"0.6%"
-18,60,"13.2%"
-18,59,"9.6%"
-18,58,"19.2%"
-18,57,"9.5%"
-18,56,"7.3%"
-18,52,"12.8%"
-18,51,"9.4%"
-18,49,"13.4%"
-19,111,"14.4%"
-19,110,"26.2%"
-19,107,"18.5%"
-19,106,"37.0%"
-19,105,"31.2%"
-19,104,"28.9%"
-19,103,"17.5%"
-19,102,"46.8%"
-19,101,"19.7%"
-19,100,"22.2%"
-19,99,"18.4%"
-19,98,"30.9%"
-19,97,"23.9%"
-19,96,"28.9%"
-19,95,"34.5%"
-19,94,"19.3%"
-19,93,"19.4%"
-19,92,"16.0%"
-19,91,"30.6%"
-19,90,"16.9%"
-19,89,"14.1%"
-19,88,"14.4%"
-19,87,"21.2%"
-19,86,"19.1%"
-19,85,"11.4%"
-19,84,"15.0%"
-19,83,"12.0%"
-19,82,"10.4%"
-19,81,"20.4%"
-19,80,"4.6%"
-19,79,"16.1%"
-19,78,"6.0%"
-19,77,"6.2%"
-19,76,"8.5%"
-19,75,"10.8%"
-19,74,"4.4%"
-19,73,"9.1%"
-19,72,"6.5%"
-19,71,"16.1%"
-19,70,"6.6%"
-19,69,"12.2%"
-19,67,"5.8%"
-19,66,"8.0%"
-19,65,"8.7%"
-19,64,"8.2%"
-19,63,"11.8%"
-19,62,"7.1%"
-19,60,"8.8%"
-19,58,"5.2%"
-19,57,"10.6%"
-19,56,"12.9%"
-19,55,"11.2%"
-19,54,"9.5%"
-19,49,"8.8%"
-19,48,"3.2%"
-19,34,"24.2%"
-20,108,"26.0%"
-20,107,"37.8%"
-20,105,"39.4%"
-20,104,"24.4%"
-20,103,"14.2%"
-20,102,"14.8%"
-20,101,"20.9%"
-20,100,"25.2%"
-20,99,"30.2%"
-20,98,"27.1%"
-20,97,"30.8%"
-20,96,"31.1%"
-20,95,"22.0%"
-20,94,"26.8%"
-20,93,"24.5%"
-20,92,"16.9%"
-20,91,"12.7%"
-20,90,"17.8%"
-20,89,"19.3%"
-20,88,"14.5%"
-20,87,"5.8%"
-20,86,"12.0%"
-20,85,"13.6%"
-20,84,"18.2%"
-20,83,"18.5%"
-20,82,"6.3%"
-20,81,"11.8%"
-20,80,"12.3%"
-20,79,"14.3%"
-20,78,"8.4%"
-20,77,"12.3%"
-20,76,"6.1%"
-20,75,"9.3%"
-20,74,"7.8%"
-20,73,"10.7%"
-20,72,"7.6%"
-20,71,"13.7%"
-20,70,"13.0%"
-20,69,"18.1%"
-20,68,"11.2%"
-20,67,"10.8%"
-20,66,"7.0%"
-20,65,"1.6%"
-20,64,"4.8%"
-20,63,"9.9%"
-20,62,"4.9%"
-20,61,"16.6%"
-20,60,"3.2%"
-20,56,"8.4%"
-20,55,"3.0%"
-20,51,"22.0%"
-20,50,"11.6%"
-20,49,"3.0%"
-20,44,"34.8%"
-20,41,"25.4%"
-20,31,"49.6%"
-21,110,"19.0%"
-21,108,"22.8%"
-21,107,"16.4%"
-21,105,"38.5%"
-21,103,"19.2%"
-21,102,"29.2%"
-21,101,"35.2%"
-21,100,"31.8%"
-21,99,"22.0%"
-21,98,"24.5%"
-21,97,"19.8%"
-21,96,"22.4%"
-21,95,"22.2%"
-21,94,"23.3%"
-21,93,"19.0%"
-21,92,"10.5%"
-21,91,"11.1%"
-21,90,"15.4%"
-21,89,"10.1%"
-21,88,"9.2%"
-21,87,"10.8%"
-21,86,"12.5%"
-21,85,"15.9%"
-21,84,"14.9%"
-21,83,"9.5%"
-21,82,"7.4%"
-21,81,"8.0%"
-21,80,"10.4%"
-21,79,"3.8%"
-21,78,"7.2%"
-21,77,"3.0%"
-21,76,"6.2%"
-21,75,"7.1%"
-21,74,"10.1%"
-21,73,"5.4%"
-21,72,"5.1%"
-21,71,"9.3%"
-21,70,"6.4%"
-21,69,"27.1%"
-21,68,"10.1%"
-21,67,"10.9%"
-21,66,"13.5%"
-21,65,"8.0%"
-21,64,"4.3%"
-21,63,"5.2%"
-21,62,"13.3%"
-21,61,"9.6%"
-21,59,"13.2%"
-21,58,"6.4%"
-21,55,"19.0%"
-21,52,"3.8%"
-21,50,"3.2%"
-21,48,"7.6%"
-21,46,"7.2%"
-21,40,"30.8%"
-21,38,"23.2%"
-22,106,"35.8%"
-22,105,"42.0%"
-22,103,"24.7%"
-22,102,"17.8%"
-22,101,"11.0%"
-22,100,"16.4%"
-22,99,"16.4%"
-22,98,"18.3%"
-22,97,"19.4%"
-22,96,"24.7%"
-22,95,"14.1%"
-22,94,"18.4%"
-22,93,"22.0%"
-22,92,"14.8%"
-22,91,"16.9%"
-22,90,"16.1%"
-22,89,"10.5%"
-22,88,"13.1%"
-22,87,"15.8%"
-22,86,"12.4%"
-22,85,"8.5%"
-22,84,"8.8%"
-22,83,"7.9%"
-22,82,"18.7%"
-22,81,"7.1%"
-22,80,"13.4%"
-22,79,"18.1%"
-22,78,"8.1%"
-22,77,"5.9%"
-22,76,"6.2%"
-22,75,"11.0%"
-22,74,"6.9%"
-22,73,"5.4%"
-22,72,"11.4%"
-22,71,"14.4%"
-22,70,"11.4%"
-22,69,"17.9%"
-22,68,"9.8%"
-22,67,"8.4%"
-22,66,"12.4%"
-22,65,"6.4%"
-22,64,"9.3%"
-22,63,"12.0%"
-22,62,"12.8%"
-22,61,"1.6%"
-22,60,"10.2%"
-22,59,"2.6%"
-22,57,"13.6%"
-22,52,"24.5%"
-22,51,"8.4%"
-22,48,"12.4%"
-22,46,"6.8%"
-22,44,"16.6%"
-22,36,"43.0%"
-22,35,"21.4%"
-23,107,"15.1%"
-23,105,"38.7%"
-23,104,"38.4%"
-23,103,"13.8%"
-23,102,"19.2%"
-23,101,"21.6%"
-23,100,"35.4%"
-23,99,"23.2%"
-23,98,"25.5%"
-23,97,"26.5%"
-23,96,"21.8%"
-23,95,"15.4%"
-23,94,"14.3%"
-23,93,"11.4%"
-23,92,"6.7%"
-23,91,"10.1%"
-23,90,"13.7%"
-23,89,"10.2%"
-23,88,"6.3%"
-23,87,"9.4%"
-23,86,"11.8%"
-23,85,"9.4%"
-23,84,"5.2%"
-23,83,"9.2%"
-23,82,"15.0%"
-23,81,"12.0%"
-23,80,"5.9%"
-23,79,"11.9%"
-23,78,"7.9%"
-23,77,"4.9%"
-23,76,"6.4%"
-23,75,"13.1%"
-23,74,"14.8%"
-23,73,"8.9%"
-23,72,"9.7%"
-23,71,"7.1%"
-23,70,"6.1%"
-23,69,"10.4%"
-23,68,"9.9%"
-23,67,"14.4%"
-23,66,"5.1%"
-23,65,"13.2%"
-23,64,"4.3%"
-23,63,"4.6%"
-23,62,"10.1%"
-23,59,"12.8%"
-23,56,"8.4%"
-23,55,"8.9%"
-23,54,"6.6%"
-23,53,"29.6%"
-23,46,"7.0%"
-23,42,"5.4%"
-24,107,"35.2%"
-24,106,"44.2%"
-24,104,"32.8%"
-24,103,"12.3%"
-24,102,"15.2%"
-24,101,"31.1%"
-24,100,"24.5%"
-24,99,"23.3%"
-24,98,"7.8%"
-24,97,"30.0%"
-24,96,"22.1%"
-24,95,"26.0%"
-24,94,"21.7%"
-24,93,"15.4%"
-24,92,"29.2%"
-24,91,"14.5%"
-24,90,"18.6%"
-24,89,"8.5%"
-24,88,"11.2%"
-24,87,"16.4%"
-24,86,"11.9%"
-24,85,"6.3%"
-24,84,"11.5%"
-24,83,"9.2%"
-24,82,"9.8%"
-24,81,"16.3%"
-24,80,"8.1%"
-24,79,"7.6%"
-24,78,"6.8%"
-24,77,"5.4%"
-24,76,"9.1%"
-24,75,"5.3%"
-24,74,"7.0%"
-24,73,"20.0%"
-24,72,"10.0%"
-24,71,"5.6%"
-24,70,"7.6%"
-24,69,"7.6%"
-24,68,"10.4%"
-24,67,"12.4%"
-24,66,"6.3%"
-24,65,"16.0%"
-24,64,"7.1%"
-24,63,"3.2%"
-24,62,"7.9%"
-24,61,"7.2%"
-24,60,"22.1%"
-24,59,"20.6%"
-24,58,"5.4%"
-24,54,"9.8%"
-24,53,"13.6%"
-24,52,"6.6%"
-24,50,"7.8%"
-24,47,"10.8%"
-25,116,"8.2%"
-25,104,"18.4%"
-25,102,"21.9%"
-25,101,"23.9%"
-25,100,"26.5%"
-25,99,"24.7%"
-25,98,"19.3%"
-25,97,"25.8%"
-25,96,"24.2%"
-25,95,"22.0%"
-25,94,"20.4%"
-25,93,"13.1%"
-25,92,"20.8%"
-25,91,"7.1%"
-25,90,"18.5%"
-25,89,"8.1%"
-25,88,"12.4%"
-25,87,"15.9%"
-25,86,"12.6%"
-25,85,"10.1%"
-25,84,"14.2%"
-25,83,"9.5%"
-25,82,"5.6%"
-25,81,"9.0%"
-25,80,"19.3%"
-25,79,"25.9%"
-25,78,"12.5%"
-25,77,"2.8%"
-25,76,"17.7%"
-25,75,"7.7%"
-25,74,"4.0%"
-25,73,"2.4%"
-25,72,"15.4%"
-25,71,"11.1%"
-25,70,"9.7%"
-25,69,"5.7%"
-25,68,"14.9%"
-25,67,"19.1%"
-25,66,"20.2%"
-25,65,"5.7%"
-25,64,"12.4%"
-25,63,"3.4%"
-25,62,"41.1%"
-25,60,"2.0%"
-25,59,"16.0%"
-25,58,"16.4%"
-25,57,"2.6%"
-25,56,"5.1%"
-25,54,"9.0%"
-25,53,"17.2%"
-25,52,"5.7%"
-25,51,"17.7%"
-25,50,"14.4%"
-25,48,"19.2%"
-25,43,"14.2%"
-25,41,"13.4%"
-25,39,"20.0%"
-26,105,"39.2%"
-26,102,"16.0%"
-26,101,"9.5%"
-26,100,"15.6%"
-26,99,"35.4%"
-26,98,"50.0%"
-26,97,"33.1%"
-26,96,"35.9%"
-26,95,"29.4%"
-26,94,"28.5%"
-26,93,"12.2%"
-26,92,"23.0%"
-26,91,"18.4%"
-26,90,"26.5%"
-26,89,"21.4%"
-26,88,"17.6%"
-26,87,"12.9%"
-26,86,"26.4%"
-26,85,"7.7%"
-26,84,"10.8%"
-26,83,"6.1%"
-26,82,"8.5%"
-26,81,"11.6%"
-26,80,"11.2%"
-26,79,"8.1%"
-26,78,"6.0%"
-26,77,"6.5%"
-26,76,"12.6%"
-26,75,"7.1%"
-26,74,"10.1%"
-26,73,"4.7%"
-26,72,"5.0%"
-26,71,"4.1%"
-26,70,"10.5%"
-26,69,"4.7%"
-26,68,"11.0%"
-26,67,"12.5%"
-26,66,"3.5%"
-26,65,"1.8%"
-26,61,"1.8%"
-26,59,"11.0%"
-26,58,"9.6%"
-26,57,"15.6%"
-26,55,"12.0%"
-26,53,"11.8%"
-26,50,"7.8%"
-26,44,"27.2%"
-26,43,"5.0%"
-26,35,"12.0%"
-27,104,"25.4%"
-27,103,"28.4%"
-27,102,"6.0%"
-27,101,"10.2%"
-27,100,"24.4%"
-27,99,"24.3%"
-27,98,"19.9%"
-27,96,"21.7%"
-27,95,"13.0%"
-27,94,"20.4%"
-27,93,"17.4%"
-27,92,"18.2%"
-27,91,"11.4%"
-27,90,"5.0%"
-27,89,"14.7%"
-27,88,"9.9%"
-27,87,"4.4%"
-27,86,"11.9%"
-27,85,"16.7%"
-27,84,"13.0%"
-27,83,"4.7%"
-27,82,"8.2%"
-27,81,"9.6%"
-27,80,"22.7%"
-27,79,"6.4%"
-27,78,"10.7%"
-27,77,"10.6%"
-27,76,"9.0%"
-27,75,"6.0%"
-27,74,"11.7%"
-27,73,"8.6%"
-27,72,"9.5%"
-27,71,"20.5%"
-27,70,"4.4%"
-27,69,"7.2%"
-27,68,"3.8%"
-27,67,"5.9%"
-27,65,"1.7%"
-27,64,"3.2%"
-27,63,"4.2%"
-27,62,"9.3%"
-27,61,"5.5%"
-27,59,"5.6%"
-27,58,"5.0%"
-27,57,"2.2%"
-27,54,"3.6%"
-27,53,"13.4%"
-27,48,"9.0%"
-27,46,"9.6%"
-27,38,"16.2%"
-27,35,"30.8%"
